,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,Color,Image_link
925,925,925,701,49408941,GRÖNLID,Armchairs & chaise longues,SR930,No old price,True,https://www.ikea.com/sa/en/p/groenlid-cover-for-2-seat-sofa-bed-ljungen-light-red-s49408941/,Yes,"Cover for 2-seat sofa-bed, Ljungen light red",Unknown,,,,Ljungen light red,
926,926,926,702,250249,VITTSJÖ,Tables & desks,SR139,No old price,False,https://www.ikea.com/sa/en/p/vittsjoe-laptop-stand-black-brown-glass-00250249/,No,"Laptop stand, black-brown/glass,",Johan Kroon,55.0,65.0,35.0,Black-brown/glass,
927,927,927,703,69297287,JONAXEL,Bookcases & shelving units,SR510,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-open-storage-combination-white-s69297287/,No,"Open storage combination, white,",IKEA of Sweden,,,,White,
928,928,928,704,89305842,SÖDERHAMN,Sofas,"SR6,710",No old price,True,https://www.ikea.com/sa/en/p/soederhamn-corner-sofa-4-seat-with-open-end-viarp-beige-brown-s89305842/,Yes,"Corner sofa, 4-seat, with open end/Viarp beige/brown",Ola Wihlborg,,,,4-seat,
929,929,929,705,39412707,BESTÅ,Dining furniture,"SR2,205",No old price,True,https://www.ikea.com/sa/en/p/besta-storage-combination-with-drawers-white-selsviken-stubbarp-high-gloss-white-s39412707/,Yes,"Storage combination with drawers, white/Selsviken/Stubbarp high-gloss/white,",Unknown,,,,"White/Lappviken white,Black-brown/Lappviken black-brown,White/Hanviken white,Black-brown Lappviken/Sindvik black-brown clear glass,White Lappviken/Sindvik white clear glass,Black-brown/Lappviken/Stubbarp black-brown,Black-brown/Lappviken/Stubbarp light grey-brown,White Lappviken/Stubbarp/light grey-brown,White/Lappviken/Stubbarp white,White/Sutterviken/Kabbarp white,White/Hanviken/Stubbarp white,White/Selsviken high-gloss/white,Black-brown Lappviken/Sindvik/Stubbarp black-brown clear glass,White Lappviken/Sindvik/Stubbarp white clear glass,Black-brown Hedeviken/Stubbarp/dark brown stained oak veneer,Sindvik black/Lappviken/Stubbarp black-brown,Sindvik white/Lappviken/Stubbarp white,White/Selsviken/Stubbarp high-gloss/white,White Bergsviken/Stubbarp/beige marble effect,White Björköviken/birch veneer",
930,930,930,706,30318163,IVAR,Cabinets & cupboards,SR60,SR70,True,https://www.ikea.com/sa/en/p/ivar-shelf-pine-30318163/,No,"Shelf, pine,",IKEA of Sweden,30.0,,83.0,Pine,
931,931,931,707,70472930,KABBARP,Cabinets & cupboards,SR35,No old price,True,https://www.ikea.com/sa/en/p/kabbarp-leg-white-70472930/,No,"Leg, white,",Friso Wiersma,5.0,11.0,5.0,White,
932,932,932,708,333947,EKET,Chests of drawers & drawer units,SR549,No old price,True,https://www.ikea.com/sa/en/p/eket-cabinet-with-2-drawers-white-00333947/,No,"Cabinet with 2 drawers, white,",Jon Karlsson,35.0,35.0,70.0,White,
933,933,933,709,39506602,MYLLRA,Nursery furniture,"SR3,790",No old price,True,https://www.ikea.com/sa/en/p/myllra-2-piece-baby-furniture-set-pale-pink-s39506602/,No,"2-piece baby furniture set, pale pink,",Unknown,,,,Pale pink,
934,934,934,710,430019,HEMNES,Chests of drawers & drawer units,SR125,SR495,True,https://www.ikea.com/sa/en/p/hemnes-glass-top-transparent-00430019/,No,"Glass top, transparent,",IKEA of Sweden,54.0,,38.0,Transparent,
935,935,935,711,50487876,IDANÄS,Dining furniture,SR699,No old price,True,https://www.ikea.com/sa/en/p/idanaes-console-table-dark-brown-stained-50487876/,Yes,"Console table, dark brown stained,",Francis Cayouette,104.0,95.0,32.0,Dark brown stained,
936,936,936,712,29494949,LEIRVIK,Beds,"SR1,145",No old price,True,https://www.ikea.com/sa/en/p/leirvik-bed-frame-white-lindbaden-s29494949/,No,"Bed frame, white/Lindbåden,",Unknown,,,,White/lindbåden,
937,937,937,713,60214159,MALM,Tables & desks,SR945,No old price,True,https://www.ikea.com/sa/en/p/malm-desk-white-60214159/,Yes,"Desk, white,",Unknown,65.0,73.0,140.0,White,
938,938,938,714,39436751,MICKE/ÖRFJÄLL / KALLAX,Tables & desks,"SR1,173",No old price,True,https://www.ikea.com/sa/en/p/micke-oerfjaell-kallax-desk-and-storage-combination-and-swivel-chair-white-blue-black-s39436751/,No,"Desk and storage combination, and swivel chair white/blue/black",Unknown,,,,And swivel chair white/blue/black,
939,939,939,715,49494910,HEMNES,Beds,"SR1,745",No old price,True,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-lindbaden-s49494910/,Yes,"Bed frame, white stain/Lindbåden,",Unknown,,,,White stain/lindbåden,
940,940,940,716,79484896,STRANDTORP / TOBIAS,Furniture sets,"SR5,193",No old price,True,https://www.ikea.com/sa/en/p/strandtorp-tobias-table-and-6-chairs-brown-brown-red-chrome-plated-s79484896/,Yes,"Table and 6 chairs, brown/brown/red chrome-plated,",Unknown,,,,Brown/brown/red chrome-plated,
