item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
90347515,ENERYDA,Bookcases & shelving units,35,No old price,TRUE,https://www.ikea.com/sa/en/p/eneryda-cup-handle-brass-colour-90347515/,Yes,"        Cup handle,          89 mm",Francis Cayouette,30,,22
9259702,LISABO / ODGER,Chairs,1875,No old price,TRUE,https://www.ikea.com/sa/en/p/lisabo-odger-table-and-4-chairs-black-beige-s09259702/,No,"        Table and 4 chairs,          140x78 cm",K Hagberg/M Hagberg/J Löfgren/J Pettersson,,74,78
70294339,LISABO,Tables & desks,695,No old price,TRUE,https://www.ikea.com/sa/en/p/lisabo-table-ash-veneer-70294339/,No,"        Table,          140x78 cm",K Hagberg/M Hagberg,,74,78
10255307,FEJAN,Outdoor furniture,59,No old price,TRUE,https://www.ikea.com/sa/en/p/fejan-chair-outdoor-foldable-white-10255307/,No,"        Chair, outdoor",K Hagberg/M Hagberg,42,89,44
10461010,BORTBERG,Chairs,49,No old price,TRUE,https://www.ikea.com/sa/en/p/bortberg-lumbar-cushion-black-10461010/,No,"        Lumbar cushion,          31x23 cm","104.610.10 The lumbar cushion helps you to sit up straight, which relieves both the spine and lower back.You easily attach the lumbar cushion to your favourite chair with the sewn-on touch-and-close fastening.Fixed cover.",,,23
70292397,LANDSKRONA,Sofas & armchairs,100,No old price,TRUE,https://www.ikea.com/sa/en/p/landskrona-leg-wood-70292397/,No,"        Leg,          15 cm",IKEA of Sweden,,15,
50357785,UTTER,Chairs,25,No old price,TRUE,https://www.ikea.com/sa/en/p/utter-childrens-stool-in-outdoor-white-50357785/,No,        Children's stool,K Hagberg/M Hagberg,,,
90338403,LÖVA,Beds,55,No old price,TRUE,https://www.ikea.com/sa/en/p/loeva-bed-canopy-green-90338403/,No,        Bed canopy,A Huldén/S Dahlman,,,90
49103247,LISABO / JANINGE,Chairs,1595,No old price,TRUE,https://www.ikea.com/sa/en/p/lisabo-janinge-table-and-4-chairs-ash-veneer-white-s49103247/,No,"        Table and 4 chairs,          140x78 cm",K Hagberg/M Hagberg/John/Jonas/Petrus/Paul/Caroline,,74,78
50413526,HEMNES,TV & media furniture,995,No old price,TRUE,https://www.ikea.com/sa/en/p/hemnes-tv-bench-white-stain-light-brown-50413526/,Yes,"        TV bench,          148x47x57 cm",Carina Bengs,47,57,148
80418056,POÄNG,Chairs,134,No old price,TRUE,https://www.ikea.com/sa/en/p/poaeng-childrens-armchair-frame-birch-veneer-80418056/,No,        Children's armchair frame,Noboru Nakamura,56,68,47
20368714,NORDVIKEN,Tables & desks,1495,No old price,TRUE,https://www.ikea.com/sa/en/p/nordviken-extendable-table-black-20368714/,Yes,"        Extendable table,          152/223x95 cm",Francis Cayouette,,75,95
29282532,BEKANT,Cabinets & cupboards,1105,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-storage-unit-on-castors-mesh-black-s29282532/,Yes,"        Storage unit on castors,          41x101 cm",Eva Lilja Löwenhielm,45,101,41
49285817,EKET,Tables & desks,94,No old price,TRUE,https://www.ikea.com/sa/en/p/eket-wall-mounted-shelving-unit-white-s49285817/,Yes,"        Wall-mounted shelving unit,          35x35x35 cm",Jon Karlsson/IKEA of Sweden,35,35,35
