item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
69516100,TROFAST,Nursery furniture,SR195,SR215,TRUE,https://www.ikea.com/sa/en/p/trofast-storage-combination-with-box-trays-grey-turquoise-s69516100/,Yes,"Storage combination with box/trays, grey/turquoise,",Unknown,,,
89419443,BESTÅ,TV & media furniture,"SR1,120",No old price,TRUE,https://www.ikea.com/sa/en/p/besta-tv-bench-with-doors-white-lappviken-stubbarp-light-grey-brown-s89419443/,Yes,"TV bench with doors, white Lappviken/Stubbarp/light grey-brown,",Unknown,,,
99441028,STRANDTORP / TOSSBERG,Furniture sets,"SR6,093",No old price,TRUE,https://www.ikea.com/sa/en/p/strandtorp-tossberg-table-and-6-chairs-brown-metal-black-grey-s99441028/,Yes,"Table and 6 chairs, brown/metal black/grey,",Unknown,,,
39252515,LÅNGFJÄLL,Chairs,SR945,No old price,TRUE,https://www.ikea.com/sa/en/p/langfjaell-conference-chair-gunnared-dark-grey-white-s39252515/,Yes,"Conference chair, Gunnared dark grey/white",Eva Lilja Löwenhielm,,,
19275136,HAVSTA,Cabinets & cupboards,"SR3,285",No old price,TRUE,https://www.ikea.com/sa/en/p/havsta-storage-combination-dark-brown-s19275136/,Yes,"Storage combination, dark brown,",IKEA of Sweden,,,
60275812,KALLAX,Bookcases & shelving units,SR199,No old price,TRUE,https://www.ikea.com/sa/en/p/kallax-shelving-unit-black-brown-60275812/,Yes,"Shelving unit, black-brown,",Tord Björklund,39,77,77
9416410,LANDSKRONA,Armchairs & chaise longues,"SR1,145",No old price,TRUE,https://www.ikea.com/sa/en/p/landskrona-footstool-djuparp-dark-green-metal-s09416410/,No,"Footstool, Djuparp dark green/metal",Unknown,,,
10493638,FREDVANG,Chests of drawers & drawer units,SR275,No old price,TRUE,https://www.ikea.com/sa/en/p/fredvang-underbed-storage-bedside-table-white-10493638/,No,"Underbed storage/bedside table, white,",IKEA of Sweden,56,18,59
90472175,GRÖNLID,Armchairs & chaise longues,SR400,No old price,TRUE,https://www.ikea.com/sa/en/p/groenlid-cover-for-corner-section-ljungen-light-red-90472175/,Yes,"Cover for corner section, Ljungen light red",Francis Cayouette,57,6,38
9443003,UTESPELARE / MATCHSPEL,Gaming furniture,"SR2,105",No old price,TRUE,https://www.ikea.com/sa/en/p/utespelare-matchspel-gaming-desk-chair-and-drawer-unit-black-s09443003/,No,"Gaming desk, chair and drawer unit, black",Unknown,,,
90474749,TROTTEN,Tables & desks,SR275,No old price,TRUE,https://www.ikea.com/sa/en/p/trotten-table-top-white-90474749/,No,"Table top, white,",Francis Cayouette,140,,80
39485322,HAVBERG,Armchairs & chaise longues,"SR2,990",No old price,TRUE,https://www.ikea.com/sa/en/p/havberg-armchair-and-footstool-grann-bomstad-golden-brown-s39485322/,Yes,"Armchair and footstool, Grann/Bomstad golden-brown",Unknown,,,
50424596,SOLLERÖN,Outdoor furniture,SR595,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-one-seat-section-outdoor-dark-grey-50424596/,No,"One-seat section, outdoor, dark grey",Jonas Hultqvist,62,32,62
39483907,STRANDMON,Armchairs & chaise longues,"SR1,340",No old price,TRUE,https://www.ikea.com/sa/en/p/strandmon-armchair-and-footstool-nordvalla-dark-grey-s39483907/,Yes,"Armchair and footstool, Nordvalla dark grey",Unknown,,,
59523573,SEGERÖN,Outdoor furniture,SR895,SR940,FALSE,https://www.ikea.com/sa/en/p/segeroen-corner-section-with-cushion-outdoor-white-beige-froesoen-duvholmen-beige-s59523573/,No,"Corner section with cushion, outdoor white/beige/Frösön/Duvholmen beige",Unknown,,,
40501646,ANFALLSZON,Tables & desks,SR425,SR199,TRUE,https://www.ikea.com/sa/en/p/anfallszon-screen-for-desk-transparent-white-40501646/,No,"Screen for desk, transparent/white,",IKEA of Sweden,,650,750
29435182,VIHOLMEN / LÄCKÖ,Outdoor furniture,"SR1,785","SR1,805",TRUE,https://www.ikea.com/sa/en/p/viholmen-laeckoe-table-4-chairs-w-armrests-outdoor-dark-grey-kloesan-blue-s29435182/,Yes,"Table+4 chairs w armrests, outdoor, dark grey/Klösan blue",Unknown,,,
69430130,SMÅSTAD / PLATSA,Nursery furniture,SR809,SR864,FALSE,https://www.ikea.com/sa/en/p/smastad-platsa-wardrobe-white-pale-turquoise-s69430130/,Yes,"Wardrobe, white/pale turquoise,",Unknown,,,
89398676,KALLAX / LACK,TV & media furniture,"SR1,145",No old price,TRUE,https://www.ikea.com/sa/en/p/kallax-lack-storage-combination-with-2-shelves-white-s89398676/,No,"Storage combination with 2 shelves, white,",Unknown,,,
79441053,STRANDTORP / BERGMUND,Furniture sets,"SR3,739",No old price,TRUE,https://www.ikea.com/sa/en/p/strandtorp-bergmund-table-and-4-chairs-brown-gunnared-medium-grey-s79441053/,Yes,"Table and 4 chairs, brown/Gunnared medium grey,",Unknown,,,
49410369,BESTÅ,TV & media furniture,"SR3,150",No old price,FALSE,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-glass-doors-white-hanviken-white-clear-glass-s49410369/,Yes,"TV storage combination/glass doors, white/Hanviken white clear glass,",Unknown,,,
9477187,VIMLE,Armchairs & chaise longues,"SR1,985",No old price,TRUE,https://www.ikea.com/sa/en/p/vimle-armchair-with-wide-armrests-hallarp-beige-s09477187/,Yes,"Armchair, with wide armrests/Hallarp beige",Unknown,,,
