Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
2011,20292328,TOSTERÖ,Outdoor furniture,103.0,No old price,True,https://www.ikea.com/sa/en/p/tosteroe-storage-bag-for-cushions-black-20292328/,No,"        Storage bag for cushions,          116x49 cm",IKEA of Sweden,,35.0,49.0
1213,90175000,JUSTINA,Chairs,19.0,No old price,True,https://www.ikea.com/sa/en/p/justina-chair-pad-natural-90175000/,No,"        Chair pad,          35/42x40x4.0 cm",IKEA of Sweden,40.0,,
3006,29229931,GERTON / TORSKLINT,Tables & desks,795.0,No old price,True,https://www.ikea.com/sa/en/p/gerton-torsklint-table-beech-light-grey-s29229931/,No,"        Table,          155x75 cm",IKEA of Sweden/Jomi Evers,,73.0,75.0
2972,80281416,RYDEBÄCK,Tables & desks,300.0,No old price,True,https://www.ikea.com/sa/en/p/rydebaeck-table-top-white-80281416/,No,"        Table top,          150x78x3.7 cm",IKEA of Sweden,,,78.0
2657,90214308,MICKE,Tables & desks,395.0,No old price,True,https://www.ikea.com/sa/en/p/micke-desk-white-90214308/,Yes,"        Desk,          142x50 cm",Henrik Preutz,50.0,75.0,142.0
3564,39285988,PAX,Wardrobes,965.0,SR 980,True,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-forsand-vikedal-s39285988/,No,"        Wardrobe,          75x60x236 cm",Ehlén Johansson/IKEA of Sweden,60.0,236.0,75.0
209,79150746,HOLMSUND,Beds,2995.0,No old price,True,https://www.ikea.com/sa/en/p/holmsund-corner-sofa-bed-nordvalla-medium-grey-s79150746/,Yes,        Corner sofa-bed,K Hagberg/M Hagberg/IKEA of Sweden,151.0,96.0,230.0
3343,99278225,BRIMNES,TV & media furniture,1265.0,No old price,True,https://www.ikea.com/sa/en/p/brimnes-tv-storage-combination-glass-doors-white-s99278225/,Yes,"        TV storage combination/glass doors,          276x41x95 cm",K Hagberg/M Hagberg,41.0,95.0,276.0
3625,39264858,PAX,Wardrobes,3227.0,"SR 3,440",True,https://www.ikea.com/sa/en/p/pax-wardrobe-white-uggdal-grey-glass-s39264858/,No,"        Wardrobe,          150x66x236 cm",Ehlén Johansson/IKEA of Sweden,66.0,236.0,150.0
1034,70323600,BILLSBRO,Cabinets & cupboards,19.0,No old price,True,https://www.ikea.com/sa/en/p/billsbro-handle-stainless-steel-colour-70323600/,No,"        Handle,          120 mm",H Preutz/A Fredriksson,,,
2487,29241933,NORSBORG,Sofas & armchairs,1280.0,"SR 1,600",True,https://www.ikea.com/sa/en/p/norsborg-corner-section-finnsta-white-metal-s29241933/,Yes,        Corner section,Ehlén Johansson,88.0,85.0,88.0
2377,198591,KIVIK,Sofas & armchairs,3800.0,"SR 4,750",True,https://www.ikea.com/sa/en/p/kivik-three-seat-sofa-grann-bomstad-black-00198591/,No,        Three-seat sofa,Ola Wihlborg,95.0,83.0,227.0
596,9287979,IVAR,Bookcases & shelving units,636.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-shelving-unit-with-clothes-rail-s09287979/,No,"        Shelving unit with clothes rail,          174x50x179 cm",IKEA of Sweden,50.0,179.0,174.0
3623,29304586,PLATSA,Wardrobes,1324.0,"SR 1,655",True,https://www.ikea.com/sa/en/p/platsa-wardrobe-w-10-doors-fonnes-white-s29304586/,No,"        Wardrobe w 10 doors,          380x42x221 cm",IKEA of Sweden,42.0,221.0,380.0
2650,19222299,KALLAX,Tables & desks,450.0,No old price,True,https://www.ikea.com/sa/en/p/kallax-desk-combination-white-stained-oak-effect-white-s19222299/,Yes,"        Desk combination,          77x147x159 cm",IKEA of Sweden/Tord Björklund,159.0,147.0,77.0
296,319135,IVAR,Bookcases & shelving units,570.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-storage-unit-with-foldable-table-pine-00319135/,No,"        Storage unit with foldable table,          80x30-104x155 cm",IKEA of Sweden,30.0,155.0,80.0
1786,49123405,TROFAST,Children's furniture,350.0,No old price,True,https://www.ikea.com/sa/en/p/trofast-storage-combination-white-white-s49123405/,No,"        Storage combination,          99x44x56 cm",Studio Copenhagen,44.0,56.0,99.0
507,296351,SELSVIKEN,Bookcases & shelving units,60.0,No old price,True,https://www.ikea.com/sa/en/p/selsviken-drawer-front-patterned-high-gloss-brown-00296351/,Yes,"        Drawer front,          60x26 cm",IKEA of Sweden,,26.0,60.0
7,60155602,DALFRED,Bar furniture,195.0,No old price,True,https://www.ikea.com/sa/en/p/dalfred-bar-stool-black-60155602/,No,"        Bar stool,          63-74 cm",Sarah Fager,50.0,,50.0
2080,80311833,SALTHOLMEN,Outdoor furniture,195.0,No old price,True,https://www.ikea.com/sa/en/p/saltholmen-table-outdoor-foldable-beige-80311833/,No,"        Table, outdoor,          65 cm",Jon Karlsson,,71.0,
2826,90180025,MICKE,Tables & desks,175.0,No old price,True,https://www.ikea.com/sa/en/p/micke-add-on-unit-high-white-90180025/,Yes,"        Add-on unit high,          105x65 cm",Henrik Preutz,16.0,65.0,105.0
1811,80308699,TROFAST,Children's furniture,55.0,No old price,True,https://www.ikea.com/sa/en/p/trofast-shelf-light-white-stained-pine-pine-80308699/,No,"        Shelf,          30 cm",Studio Copenhagen,,,30.0
2034,40160478,LÄCKÖ,Outdoor furniture,149.0,No old price,True,https://www.ikea.com/sa/en/p/laeckoe-chair-with-armrests-outdoor-grey-40160478/,No,"        Chair with armrests, outdoor",IKEA of Sweden,60.0,82.0,56.0
2886,39001942,LINNMON / KRILLE,Tables & desks,475.0,No old price,True,https://www.ikea.com/sa/en/p/linnmon-krille-table-white-s39001942/,Yes,"        Table,          150x75 cm",IKEA of Sweden/Francis Cayouette,,74.0,75.0
2008,40259511,VÄDDÖ,Outdoor furniture,111.0,SR 185,True,https://www.ikea.com/sa/en/p/vaeddoe-table-outdoor-white-40259511/,No,"        Table, outdoor,          58x74 cm",Henrik Preutz,,71.0,74.0
1614,60322130,KULLEN,Chests of drawers & drawer units,89.0,No old price,True,https://www.ikea.com/sa/en/p/kullen-chest-of-2-drawers-black-brown-60322130/,No,"        Chest of 2 drawers,          35x49 cm",IKEA of Sweden,40.0,49.0,35.0
3557,19219008,PAX,Wardrobes,4270.0,No old price,True,https://www.ikea.com/sa/en/p/pax-corner-wardrobe-white-s19219008/,No,"        Corner wardrobe,          160/271/160x236 cm",Ehlén Johansson/IKEA of Sweden,,236.0,270.0
2577,29292442,VIMLE,Sofas & armchairs,3875.0,No old price,True,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-with-open-end-gunnared-medium-grey-s29292442/,Yes,        3-seat sofa-bed,IKEA of Sweden/Ehlén Johansson,98.0,83.0,246.0
1490,29161573,MÖRBYLÅNGA / BERNHARD,Chairs,6965.0,No old price,True,https://www.ikea.com/sa/en/p/moerbylanga-bernhard-table-and-6-chairs-brown-kavat-dark-brown-s29161573/,No,"        Table and 6 chairs,          220x100 cm",S Lanneskog/J Marnell/Ola Wihlborg,,74.0,100.0
1255,69303066,ÖRFJÄLL,Chairs,225.0,No old price,True,https://www.ikea.com/sa/en/p/oerfjaell-swivel-chair-white-vissle-purple-s69303066/,No,        Swivel chair,S Holmbäck/U Nordentoft,68.0,,68.0
3011,30255250,BEKANT,Tables & desks,2100.0,No old price,True,https://www.ikea.com/sa/en/p/bekant-underframe-sit-stand-f-table-tp-el-black-30255250/,Yes,"        Underframe sit/stand f table tp, el,          120x80 cm",K Malmvall/E Lilja Löwenhielm,,,80.0
2353,30402901,EKTORP,Sofas & armchairs,695.0,No old price,True,https://www.ikea.com/sa/en/p/ektorp-cover-for-corner-sofa-4-seat-lingbo-multicolour-30402901/,Yes,"        Cover for corner sofa, 4-seat",IKEA of Sweden,,,
96,60116960,LYCKSELE,Beds,100.0,No old price,True,https://www.ikea.com/sa/en/p/lycksele-storage-box-2-seat-sofa-bed-black-60116960/,No,        Storage box 2-seat sofa-bed,IKEA of Sweden,55.0,21.0,92.0
43,9288224,STENSELE,Bar furniture,550.0,No old price,True,https://www.ikea.com/sa/en/p/stensele-bar-table-anthracite-anthracite-s09288224/,No,"        Bar table,          70 cm",Maja Ganszyniec,,105.0,
3044,29221765,SVALNÄS,Tables & desks,660.0,No old price,True,https://www.ikea.com/sa/en/p/svalnaes-wall-mounted-storage-combination-bamboo-s29221765/,No,"        Wall-mounted storage combination,          86x35x176 cm",Jon Karlsson,35.0,176.0,86.0
1231,39303039,ÖRFJÄLL,Chairs,225.0,No old price,True,https://www.ikea.com/sa/en/p/oerfjaell-swivel-chair-white-vissle-dark-grey-s39303039/,No,        Swivel chair,S Holmbäck/U Nordentoft,68.0,,68.0
1261,19241537,POÄNG,Chairs,597.0,SR 640,True,https://www.ikea.com/sa/en/p/poaeng-rocking-chair-black-brown-knisa-black-s19241537/,Yes,        Rocking-chair,IKEA of Sweden/Noboru Nakamura,94.0,95.0,68.0
25,10400540,EKEDALEN,Bar furniture,345.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-dark-brown-orrsta-light-grey-10400540/,No,"        Bar stool with backrest,          75 cm",Ehlén Johansson,52.0,114.0,43.0
3356,30247378,BESTÅ,TV & media furniture,125.0,No old price,True,https://www.ikea.com/sa/en/p/besta-frame-grey-stained-walnut-effect-30247378/,Yes,"        Frame,          60x40x38 cm",IKEA of Sweden,40.0,38.0,60.0
679,20330599,UPPLEVA,Bookcases & shelving units,199.0,No old price,True,https://www.ikea.com/sa/en/p/uppleva-bracket-for-tv-swivel-light-grey-20330599/,No,"        Bracket for TV, swivel,          37-55 ""","203.305.99 The TV-bracket can be angled for change of viewing position, and easy access to cables and connections.The TV bracket has integrated cable management so you can easily gather and conceal wires for a neater TV solution.UPPLEVA TV-brackets are VESA-compatibleFits most 37-55"" flat screen TVs.Fits MOSTORP, MALSJÖ and BESTÅ TV benches.",,,
1022,19286521,EKET,Cabinets & cupboards,1123.0,"SR 1,182",True,https://www.ikea.com/sa/en/p/eket-cabinet-combination-with-feet-white-golden-brown-dark-grey-s19286521/,Yes,"        Cabinet combination with feet,          70x35x212 cm",IKEA of Sweden/Jon Karlsson,35.0,212.0,70.0
2498,80418018,VALLENTUNA,Sofas & armchairs,80.0,SR 100,True,https://www.ikea.com/sa/en/p/vallentuna-cover-for-backrest-orrsta-olive-green-80418018/,Yes,"        Cover for backrest,          80x80 cm",IKEA of Sweden,,80.0,80.0
949,30425988,KALLVIKEN,Cabinets & cupboards,95.0,No old price,True,https://www.ikea.com/sa/en/p/kallviken-drawer-front-dark-grey-concrete-effect-30425988/,No,"        Drawer front,          60x26 cm",IKEA of Sweden,,26.0,60.0
1159,60416925,KYRRE,Chairs,60.0,SR 75,True,https://www.ikea.com/sa/en/p/kyrre-stool-birch-60416925/,No,        Stool,C Styrbjörn/M Axelsson,48.0,45.0,42.0
2366,79279419,VALLENTUNA,Sofas & armchairs,640.0,SR 800,True,https://www.ikea.com/sa/en/p/vallentuna-seat-module-hillared-light-blue-s79279419/,Yes,        Seat module,Fredriksson/L Löwenhielm/Hilland/IKEA of Sweden,80.0,45.0,100.0
1064,99161598,LIXHULT,Cabinets & cupboards,287.0,No old price,True,https://www.ikea.com/sa/en/p/lixhult-storage-combination-orange-white-s99161598/,No,"        Storage combination,          95x35 cm",Jon Karlsson,35.0,35.0,95.0
1336,29221256,MELLTORP / TEODORES,Chairs,579.0,No old price,True,https://www.ikea.com/sa/en/p/melltorp-teodores-table-and-4-chairs-white-s29221256/,No,"        Table and 4 chairs,          125 cm",Lisa Norinder/David Wahl,,72.0,75.0
3352,80295300,BESTÅ,TV & media furniture,100.0,No old price,True,https://www.ikea.com/sa/en/p/besta-top-panel-for-tv-glass-black-80295300/,Yes,"        Top panel for TV,          120x40 cm",IKEA of Sweden,40.0,,120.0
1752,90116553,POÄNG,Children's furniture,179.0,No old price,True,https://www.ikea.com/sa/en/p/poaeng-childrens-armchair-birch-veneer-almas-natural-90116553/,No,        Children's armchair,Noboru Nakamura,60.0,68.0,47.0
1921,80089239,TROFAST,Nursery furniture,10.0,No old price,True,https://www.ikea.com/sa/en/p/trofast-storage-box-white-80089239/,No,"        Storage box,          42x30x10 cm",Studio Copenhagen,,10.0,30.0
67,19175957,MALM,Beds,920.0,No old price,True,https://www.ikea.com/sa/en/p/malm-bed-frame-high-w-2-storage-boxes-white-s19175957/,Yes,"        Bed frame, high, w 2 storage boxes,          180x200 cm",IKEA of Sweden/Eva Lilja Löwenhielm,59.0,15.0,196.0
1861,50422494,GODISHUS,Nursery furniture,395.0,No old price,True,https://www.ikea.com/sa/en/p/godishus-wardrobe-white-50422494/,No,"        Wardrobe,          60x51x178 cm","504.224.94 You can position the shelf and clothes rail in two different ways – clothes rail at the top and shelf down below, or both together at the top of the wardrobe.Deep enough to hold standard-sized adult hangers.With the included colourful stickers, you can quickly label the doors in your own personal way.You can also write with chalk on the sticker to keep track of where you have your things.WARNING! TIPPING HAZARD – Unanchored furniture can tip over. This furniture shall be anchored to the wall with the enclosed safety fitting to prevent it from tipping over.Different wall materials require different types of fixing devices. Use fixing devices suitable for the walls in your home, sold separately.",51.0,178.0,60.0
2877,10373495,BEKANT,Tables & desks,1495.0,No old price,True,https://www.ikea.com/sa/en/p/bekant-shelving-unit-black-10373495/,Yes,"        Shelving unit,          121x134 cm",Eva Lilja Löwenhielm,45.0,134.0,121.0
1791,90091454,TROFAST,Children's furniture,30.0,No old price,True,https://www.ikea.com/sa/en/p/trofast-shelf-white-90091454/,No,        Shelf,Studio Copenhagen,,,30.0
3268,29297958,BESTÅ,TV & media furniture,820.0,No old price,True,https://www.ikea.com/sa/en/p/besta-tv-bench-with-drawers-black-brown-selsviken-stallarp-high-gloss-dark-red-brown-s29297958/,Yes,"        TV bench with drawers,          120x42x48 cm",Carl Öjerstam/IKEA of Sweden,42.0,48.0,120.0
2254,20403374,EKTORP,Sofas & armchairs,395.0,No old price,True,https://www.ikea.com/sa/en/p/ektorp-cover-three-seat-sofa-lingbo-multicolour-20403374/,Yes,        Cover three-seat sofa,IKEA of Sweden,,,
31,39184324,HENRIKSDAL,Bar furniture,435.0,No old price,True,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-brown-black-graesbo-white-s39184324/,No,"        Bar stool with backrest,          74 cm",IKEA of Sweden/Karl Malmvall,51.0,102.0,40.0
3653,59158121,ELVARLI,Wardrobes,519.0,SR 765,True,https://www.ikea.com/sa/en/p/elvarli-1-section-white-s59158121/,No,"        1 section,          44x55x216 cm",Ehlén Johansson/IKEA of Sweden,55.0,216.0,44.0
2665,50351175,GRANBODA,Tables & desks,295.0,No old price,True,https://www.ikea.com/sa/en/p/granboda-nest-of-tables-set-of-3-50351175/,No,"        Nest of tables, set of 3",Jonas Hultqvist,,1.0,3.0
2367,39149892,LYCKSELE LÖVÅS,Sofas & armchairs,1245.0,No old price,True,https://www.ikea.com/sa/en/p/lycksele-loevas-two-seat-sofa-bed-ebbarp-black-white-s39149892/,Yes,        Two-seat sofa-bed,IKEA of Sweden,100.0,87.0,142.0
